,text,global_id,source
0,"Created on 7/15/2009 Page 6 of 12 Last modified on 6/17/2010 [Company logo] Functional Requirements Specification Information Technology 2 Specific Requirements 2.1 Functionality Module: Admin Use Case: xxx Page, UC ID: UC_RR_xxx_xxx_000 System shall display the hyperlinks and descriptions for the user to perform the desired functions as specified in the related UIS.",F0_REQ_00000,SRS5 - LIS - Laboratory Information System.pdf
1,The User shall be able to view the hyperlinks and descriptions listed.,F0_REQ_00001,SRS5 - LIS - Laboratory Information System.pdf
2,The User shall be able to choose a function by clicking the hyperlink.,F0_REQ_00002,SRS5 - LIS - Laboratory Information System.pdf
3,The system shall display the desired operational page for the user after clicking the hyperlink.,F0_REQ_00003,SRS5 - LIS - Laboratory Information System.pdf
4,"Use Case: xxx Page, UC ID: UC_RR_xxx_xxx_000 Action: Create/Add User 2.1.1.2.1.1 A user with admin privileges shall be able to Add/Create a new user and associate the user with specified role(s) in the system.",F0_REQ_00004,SRS5 - LIS - Laboratory Information System.pdf
5,2.1.1.2.1.2 The system shall display an error message if the new user is found in the [system name] 2.1.1.2.1.3 The system shall display an error message if the new user is not active in the Active Directory.,F0_REQ_00005,SRS5 - LIS - Laboratory Information System.pdf
6,2.1.1.2.1.4 The system shall display the xxx tab as the default tab.,F0_REQ_00006,SRS5 - LIS - Laboratory Information System.pdf
7,2.1.1.2.1.5 The user shall be able to create/add a new user manually or from a template.,F0_REQ_00007,SRS5 - LIS - Laboratory Information System.pdf
8,2.1.1.2.1.6 The user record shall inherit all specified role(s) settings in the template when the user record is created from the user template 2.1.1.2.1.7 The user shall be able to add additional roles manually while creating/adding a new user from a user template.,F0_REQ_00008,SRS5 - LIS - Laboratory Information System.pdf
9,2.1.1.2.1.8 The system shall save the user info to the database with specified roles associated with divisions for the newly created/added user.,F0_REQ_00009,SRS5 - LIS - Laboratory Information System.pdf
10,2.1.1.2.1.9 The system shall perform a search on the [system name] user display name and user name columns in the user tables to find the user and verify the user’s existence.,F0_REQ_00010,SRS5 - LIS - Laboratory Information System.pdf
11,2.1.1.2.1.10 The system shall perform a search in the Active Directory to verify the status of the user — Active/Inactive within the company—when the user attempts to create/add a new user in the [system name] system.,F0_REQ_00011,SRS5 - LIS - Laboratory Information System.pdf
12,Created on 7/15/2009 Page 7 of 12 Last modified on 6/17/2010 [Company logo] Functional Requirements Specification Information Technology 2.1.1.2.1.11 The system shall generate a standard confirmation message after saving data and warning/caution messages after the cancel or close button is clicked.,F0_REQ_00012,SRS5 - LIS - Laboratory Information System.pdf
13,"2.1.1.2.1.12 The user must have the flexibility to click any tab to commence the adding process, although the xxx Tab shall display as the default tab.",F0_REQ_00013,SRS5 - LIS - Laboratory Information System.pdf
14,2.1.1.2.1.13 All required fields as specified in the UIS must be marked with a red asterisk alerting the user to fill the required fields in.,F0_REQ_00014,SRS5 - LIS - Laboratory Information System.pdf
15,2.1.1.2.1.14 The user shall be able to save data after creating/adding a new user or cancel data to abort the process.,F0_REQ_00015,SRS5 - LIS - Laboratory Information System.pdf
16,2.1.1.2.1.15 The system shall clear up data if the user chooses to click the Cancel button in the midst of creating/adding a new user.,F0_REQ_00016,SRS5 - LIS - Laboratory Information System.pdf
17,2.1.1.2.1.16 The system shall direct the user to the xxx Page if the user chooses to click the close button without entering any data.,F0_REQ_00017,SRS5 - LIS - Laboratory Information System.pdf
